0.0	-0.253
0.005	-0.086
0.01	-0.125
0.015	-0.244
0.02	-0.153
0.025	-0.159
0.03	-0.222
0.035	-0.102
0.04	-0.217
0.045	-0.153
0.05	-0.172
0.055	-0.130
0.06	-0.228
0.065	-0.202
0.07	-0.133
0.075	-0.169
0.08	-0.297
0.085	-0.200
0.09	-0.175
0.095	-0.197
0.1	0.080
0.105	0.439
0.11	0.741
0.115	0.936
0.12	0.855
0.125	0.394
0.13	-0.016
0.135	-0.369
0.14	-0.330
0.145	-0.233
0.15	-0.163
0.155	-0.125
0.16	-0.111
0.165	-0.123
0.17	-0.170
0.175	-0.159
0.18	-0.095
0.185	-0.202
0.19	-0.100
0.195	-0.158
0.2	-0.123
0.205	-0.095
0.21	-0.066
0.215	-0.102
0.22	-0.050
0.225	-0.123
0.23	-0.073
0.235	-0.034
0.24	-0.063
0.245	-0.050
0.25	-0.020
0.255	-0.003
0.26	-0.025
0.265	-0.013
0.27	-0.011
0.275	0.125
0.28	-0.006
0.285	-0.022
0.29	0.045
0.295	0.103
0.3	0.078
0.305	0.120
0.31	0.048
0.315	0.108
0.32	0.073
0.325	0.063
0.33	-0.030
0.335	0.034
0.34	0.048
0.345	-0.002
0.35	-0.080
0.355	-0.081
0.36	-0.106
0.365	-0.106
0.37	-0.100
0.375	-0.169
0.38	-0.150
0.385	-0.211
0.39	-0.128
0.395	-0.091
0.4	-0.164
0.405	-0.145
0.41	-0.250
0.415	-0.178
0.42	-0.169
0.425	-0.116
0.43	-0.145
0.435	-0.166
0.44	-0.158
0.445	-0.155
0.45	-0.164
0.455	-0.188
0.46	-0.247
0.465	-0.156
0.47	-0.139
0.475	-0.086
0.48	-0.161
0.485	-0.116
0.49	-0.142
0.495	-0.161
0.5	-0.113
0.505	-0.113
0.51	-0.186
0.515	-0.125
0.52	-0.080
0.525	-0.147
0.53	-0.109
0.535	-0.114
0.54	-0.131
0.545	-0.105
0.55	-0.242
0.555	-0.138
0.56	-0.152
0.565	-0.097
0.57	-0.139
0.575	-0.119
0.58	-0.169
0.585	-0.128
0.59	-0.103
0.595	-0.114
0.6	-0.144
0.605	-0.133
0.61	-0.164
0.615	-0.173
0.62	-0.130
0.625	-0.055
0.63	-0.091
0.635	-0.158
0.64	-0.119
0.645	-0.123
0.65	-0.134
0.655	-0.055
